gene	max	min
SERINC5	5.51671506038489	5.24713845706515e-08
PCDHGA6	5.51119133399677	9.07220716328538e-08
PCDHGC5	5.48787663204701	3.26279972817645e-07
SLC18A2	5.47041067502692	1.48938807509325e-06
PCDHGB1	5.46228803325305	4.49359038867669e-08
PCDHGA12	5.45710877378366	3.22464015489743e-08
NAIP	5.4561616761704	9.21550742738475e-06
PTPRCAP	5.45512879730577	7.48747379653025e-08
FAM25G	5.44233244440438	3.00690604495557e-05
GNGT1	5.42884086866857	2.26299170318356e-05
GNB4	5.42740674075329	4.70482425463103e-07
BEST1	5.42656064395458	1.55248933708663e-08
CD302	5.4238789683192	4.64016780554743e-09
NDUFC2	5.42128188838373	2.6551543186315e-09
ACY1	5.4073196983993	3.55519169659146e-10
PCDHGA3	5.40091061919189	1.15486904150863e-07
KMO	5.40002191046216	1.67190987943044e-06
HLA-DQB1	5.38375355716388	9.14873617929857e-06
HIST3H2A	5.38145890902033	1.32163897603732e-08
BMP8A	5.37559128794155	3.00204496133105e-05
PRIM2	5.3669318889246	1.23621062719792e-07
OBP2A	5.3662171315909	2.07267607339467e-05
CERS6	5.34874426158619	2.49856801914916e-08
FAM133B	5.34849899301048	3.51698528078259e-08
PROX1	5.34680264295421	1.57222153807091e-05
PHKG1	5.34374406579125	5.37548916490493e-09
SNX32	5.34052170389157	1.40088319833254e-08
PREPL	5.33482612733452	2.97572727259166e-06
DNAH14	5.32722897371858	1.66318947716348e-05
GTF2I	5.32635814887325	8.07480571296537e-09
FIBIN	5.31086995784231	1.10271891173852e-07
POLD4	5.30214328679043	1.13015676816985e-08
APOM	5.30010575180163	2.40808645912693e-07
PPP1R10	5.28408004826504	2.34173214153088e-09
SFT2D2	5.27692677432586	3.54166671208134e-05
PCDHGA8	5.26905243781421	1.12203069946304e-07
SPDYA	5.2648140601016	7.91222050655627e-08
MMEL1	5.25637172870497	8.44479153272459e-10
LY75	5.24684558673489	1.66178169891396e-07
GNG10	5.24470076592813	1.53152699411407e-08
LY6G5B	5.24288753966483	1.76529617590404e-08
ZBED3	5.23845441723929	1.62492571220696e-06
SAA4	5.23824027787555	7.15087855329699e-06
RNF169	5.23238870218103	1.58449313758524e-06
PCDHGA1	5.22054263349593	6.87661518838922e-08
ANXA8	5.20318777026054	1.40277726323745e-07
TNXB	5.18196726904129	1.30822842892009e-06
PRKAR2A	5.17952807044068	3.16101135044988e-07
PRRC2A	5.17622380265783	1.43638967387005e-09
PCDHA1	5.17116663565277	6.7438343975823e-07
MRPS17	5.17106006080881	1.92099260942769e-08
ANKHD1-EIF4EBP3	5.15328765258814	2.56792564989894e-08
FBXO16	5.14374866217048	1.02649845290514e-07
LEFTY2	5.13513160398692	0.000372330814681465
MXD3	5.12577553991366	9.99672433721344e-09
SERF1A	5.12575485109074	1.09460421264806e-05
FAM151A	5.12501262779951	6.18808615016064e-07
OR2A7	5.12177694664684	2.7502365274934e-05
ITIH4	5.10771633549937	3.96609507902212e-06
ATP5G3	5.10540254623353	1.80263604931952e-07
RPL7	5.10315951850502	9.93064919185827e-09
TMEM154	5.09934477424525	7.60932925469859e-06
TXNDC5	5.09892915127125	5.4181514830276e-09
CCDC107	5.09026069084404	1.62172320017362e-09
NRM	5.08708278491293	8.5040152697502e-10
SMN1	5.08589575978269	7.60816742939596e-09
CCDC85B	5.07306785675066	0.000136566017556738
FOXH1	5.07010151715645	1.15458960525672e-06
PCDHA11	5.06713239949095	3.86667136531571e-07
EHF	5.06209142324943	1.19940887746139e-05
MRPL23	5.04287023729572	5.26116208376948e-08
PTRH1	5.03043771077814	3.81056963760784e-09
PAQR3	5.02290591720487	6.50297297788427e-07
HSPE1-MOB4	5.01115024587187	2.11747397393935e-08
MZT2A	5.01065267673836	1.42225280441721e-07
RBM14-RBM4	5.00904564243016	4.81400408425259e-09
AK1	5.00133520405928	1.01377395367308e-09
DST	4.99191114327277	2.30226748776374e-08
PCDHAC1	4.98743812793081	1.75022796433666e-06
NBPF10	4.97886142450312	4.71807935831237e-07
ATG7	4.97289711404923	7.35998426648621e-08
TMEM110-MUSTN1	4.96795303997215	7.49667611321669e-06
BSCL2	4.96263602705262	2.68515343293529e-09
PCDHGA7	4.96074664592396	1.01382196859845e-07
MUC12	4.95835127338572	4.18616513808701e-06
CYP21A2	4.94958654097093	1.4746860365733e-05
WBP1	4.93526066161176	3.00244629158897e-09
LYNX1	4.93325100142821	8.4131540400989e-08
ORM2	4.92033521965184	3.89844479276036e-06
CACNB4	4.91930717453291	6.1887098024016e-07
C10orf55	4.91198005529929	1.0712699055615e-07
CYP51A1	4.90439894106467	1.30190080938064e-10
CYB561D2	4.90135699083911	8.74813910201055e-09
HIPK3	4.89504638553276	1.38677463343839e-05
HNRNPA3	4.88700976387143	6.16092918903632e-08
RPS3A	4.88158638957668	1.98521501459936e-08
ATL3	4.87649667139715	3.10430547934004e-07
NUDT3	4.86768746298964	3.83955356397792e-09
RAB24	4.8567474641761	4.63228874814092e-07
PLCXD2	4.854827804731	1.55330415241295e-06
MYL5	4.85350666095369	9.24552301384551e-09
SLC12A9	4.85021963937385	0.000176570352934835
HPCA	4.84638538171667	4.49921622625027e-07
TREX1	4.84594972642604	1.14970008624482e-07
ARID4B	4.83769155187383	2.20726331332521e-05
RNASET2	4.82593075154886	2.28263941082218e-08
SNRPE	4.82439705047698	7.01547175907535e-09
FAM47E	4.82235095012888	5.32248295825877e-06
FCGR3B	4.80168215649768	9.42641978163294e-06
INO80B	4.79981421720438	1.42494727128906e-08
LST1	4.78782562453761	3.93453358782381e-09
LSM5	4.77501781987669	2.96217061088733e-05
GDF9	4.77317460899461	5.14908369053657e-07
DDI2	4.75790075769882	5.49565888796621e-07
PDGFRL	4.75552698284602	7.65410161029934e-07
LYPD1	4.7547172249629	3.43029411098428e-07
ZNF595	4.74924558106382	1.55502925407447e-05
ABI2	4.74576268729749	1.92042959312744e-07
STK19	4.74251104112039	7.85413534210022e-09
HSD17B8	4.73404898292743	4.83506568116354e-10
RPP21	4.72479168146034	2.79929768254306e-09
GTF2H2	4.72357377783965	2.33082611087454e-05
RPS27	4.72293067159744	2.17952678127631e-09
GPR21	4.71853487322628	5.0723096833849e-09
RPS3	4.7124095187206	9.61487067741018e-09
PBX2	4.70766540194291	1.24733556816636e-09
RPS14	4.70716568940362	1.31212513565515e-05
SLC44A4	4.70192568275333	1.87698474540809e-08
ZNF593	4.68217998943133	9.40352640199649e-09
C9orf129	4.68037162782735	1.30402995690559e-06
SPATA21	4.6670300573722	2.52911238618481e-08
CERKL	4.66663968837624	3.53783879214475e-06
LY6G6D	4.66367583128702	1.84155866644886e-06
PVRIG	4.6569749227372	7.66396449787266e-05
KCTD7	4.65322896319001	2.8175458099966e-07
S100A13	4.65200938004423	0.000104554968570092
PHYHIPL	4.65174785601343	5.524400591983e-06
SSSCA1	4.65103020701589	3.45855873717937e-07
MTHFD2L	4.64541583671087	2.99470394482526e-05
LRRC24	4.64329666213161	1.54150783515661e-06
SKIV2L2	4.64017160038819	7.45129424828406e-07
FABP5	4.63335763503702	1.72781398077859e-08
NR2C2	4.62199746178732	1.12668044671693e-07
MRPL41	4.61140039312534	2.03125071367438e-05
BROX	4.60123241208546	8.23965490148737e-06
BMP2K	4.59362552213978	3.08698159390275e-06
DND1	4.59249017423955	2.22383283698946e-06
PCDHAC2	4.59183123843644	1.04623149388416e-06
LNPEP	4.59156430297114	1.03419467154531e-05
PILRB	4.58371596052837	2.99369746770139e-08
MRPL53	4.58165056331552	1.39057743098192e-09
ATP5J2-PTCD1	4.58161406759104	7.48484056956045e-08
HCN3	4.57479255383374	3.96153365667118e-06
HLA-DRB1	4.57042149206983	1.30766357742118e-08
SAPCD1	4.56509569392426	1.38506666496063e-05
ANKRD30BL	4.55546787127102	4.74846468190293e-06
MARCH7	4.55169159782549	4.96171357511344e-06
ENDOG	4.54570383146899	8.40768654697399e-09
PTCD1	4.53462949316225	4.89046048102182e-09
TRIM59	4.52903635142606	2.15879772724747e-07
MSH5-SAPCD1	4.52419410989413	8.09052346573136e-06
FAM166A	4.5200231002902	2.53910270586744e-08
TMEM200B	4.50082059965653	4.59296711774471e-07
THEM5	4.49874257736519	6.23854856662831e-07
PDE4DIP	4.4970238146058	6.88769734580319e-08
ASAP2	4.49519275454232	1.43249661554989e-05
NDUFB2	4.49178478769401	4.97465180160361e-10
ZNF354C	4.49019327572779	2.46173779401282e-05
PSMA2	4.45547550367835	8.82658390821689e-10
HLA-B	4.45534001647043	2.50716780669791e-10
C2orf82	4.45511820776434	1.04516055863257e-05
PCDHA6	4.42935821949147	6.84718322263578e-07
RAB6C	4.41970111591907	4.22096499352875e-06
CFLAR	4.41744038851931	3.02387902717527e-06
CTAGE4	4.41621964931027	0.000159342611998348
ATG10	4.41039371470335	2.22909424252293e-09
C1orf56	4.39953839859545	1.92113835950636e-09
UGCG	4.39434208013354	1.96321879020189e-05
RABGEF1	4.39318310212639	1.44950451641535e-09
TUBB2A	4.39290573732381	9.05444047116788e-06
NBPF1	4.39213336783797	1.25994989463862e-06
ECHDC2	4.3907480587627	1.06140540800936e-07
TRIM15	4.38972361343308	4.27351628307093e-07
RAB43	4.38961114235113	3.1638347053331e-08
B3GAT2	4.38259807444502	1.13315101302192e-07
EGFL8	4.37703266529911	7.44409849451344e-06
MRPL30	4.3761158324839	1.67051261712459e-10
PCDHA7	4.36928828583854	2.06543104486201e-06
SDHD	4.36646081644181	2.75026224016983e-09
NBPF9	4.36207946805951	4.34124709514094e-08
RPL9	4.36079319254103	3.02203773117071e-09
PCDHGB3	4.3591033463304	5.04104740173261e-08
BRAF	4.35826925573359	1.21072050869309e-05
CMC1	4.35765871594093	3.63159280425407e-10
HYI	4.35592860647247	6.12662454102519e-09
ACAD11	4.33954552934031	6.92020956982731e-07
CCDC142	4.33874748045123	4.03499798018458e-08
CBWD5	4.33259629001603	3.68642557035948e-08
ENAM	4.33191952658194	3.75812148689647e-06
TM4SF18	4.33138114218572	4.19532845619131e-06
SLC29A2	4.3305842703299	3.38516656128718e-06
BAG2	4.32899712848273	2.2452494663483e-07
FAM47E-STBD1	4.32641290378769	6.77890277245297e-08
CTNND1	4.32373647977944	4.70009187125697e-09
PPP1R18	4.32291229685393	1.91279769801156e-09
FGFR1OP	4.31576105805568	1.41043590140555e-08
LY75-CD302	4.30430962326846	2.08156890835198e-06
TMEM183A	4.28281870170398	1.03678843288435e-10
THAP3	4.27734892994943	3.68040078413401e-08
GNAQ	4.27647201019972	1.50725986447497e-06
ADH1A	4.2516390265521	1.91357845880091e-06
CMTM7	4.24744890080918	1.33021528494481e-05
TICAM2	4.24089359432757	2.39947906828242e-05
PI4K2B	4.2404152461125	9.91695614516175e-09
NDUFS8	4.22936460350951	4.88912865836966e-06
RAPH1	4.22589390375549	8.27077264453635e-08
ZRANB1	4.22460737206884	6.41725357297673e-08
ZNF511	4.22231777441257	3.90361747091283e-05
PTPRJ	4.2166869817312	3.72029163031584e-09
GATS	4.21394973992208	4.07992147355429e-06
S100A7A	4.21371928270049	1.01284961933068e-05
RASEF	4.21233853790573	4.37367888905804e-05
CBWD3	4.19927286816858	2.55307526675352e-07
HLA-DPA1	4.19846963781976	1.4213963339671e-09
TRIM56	4.19478554447813	5.99912857168761e-08
SPINK8	4.19308493403626	3.79048332277421e-07
TMEM79	4.18970375543969	1.84517299217646e-08
SYVN1	4.1841324406843	1.2126155537473e-06
