PC1	PC2	TCGA_Batch	sampleName
-95.680782506652	71.8285980423701	A14M	TCGA-E2-A1LG-01A-21R-A14M-07
-21.6231436923281	-60.0483709332087	A12P	TCGA-BH-A0DI-01A-21R-A12P-07
9.59624244098594	-55.394162797178	A084	TCGA-AO-A0JG-01A-31R-A084-07
31.0090454155749	29.8358402345194	A180	TCGA-E9-A2JS-01A-11R-A180-07
-37.0698989422341	-27.9512455457749	A22K	TCGA-AC-A3W5-01A-11R-A22K-07
65.5296521076072	42.7113444245241	A109	TCGA-A2-A04R-01A-41R-A109-07
32.8247946141905	39.036744499825	A00Z	TCGA-A8-A07W-01A-11R-A00Z-07
-119.143107163013	70.2983564090057	A034	TCGA-B6-A0IJ-01A-11R-A034-07
25.519034283589	-20.7544338502843	A16F	TCGA-D8-A27G-01A-11R-A16F-07
-69.9629102695622	43.5330855501553	A084	TCGA-A1-A0SK-01A-12R-A084-07
37.4183506287825	-30.4693615357308	A169	TCGA-AR-A24L-01A-11R-A169-07
55.179539850358	28.268643158841	A00Z	TCGA-A8-A09N-01A-11R-A00Z-07
-114.594287540451	10.962578516728	A21T	TCGA-GI-A2C9-01A-11R-A21T-07
-2.6129214088512	-101.030266216091	A115	TCGA-BH-A0E9-01B-11R-A115-07
2.10615210193908	-83.2527772886634	A115	TCGA-AO-A12A-01A-21R-A115-07
15.8604663019821	-81.1512687900155	A115	TCGA-D8-A146-01A-31R-A115-07
5.57037153167107	-74.2117200604938	A056	TCGA-AO-A0JJ-01A-11R-A056-07
31.2532784861771	-61.8278019595148	A16F	TCGA-E9-A1R0-01A-22R-A16F-07
-34.9280282940703	19.7393208639179	A056	TCGA-BH-A0C0-01A-21R-A056-07
1.00428352929158	-114.895970099579	A137	TCGA-BH-A1EU-01A-11R-A137-07
12.6080854798822	-89.5139035277511	A13Q	TCGA-D8-A1JH-01A-11R-A13Q-07
-107.509453995734	13.8804561846457	A28M	TCGA-LL-A5YP-01A-21R-A28M-07
24.5295280370224	-47.9544110760861	A056	TCGA-BH-A0BJ-01A-11R-A056-07
37.4632397943671	27.3398328294829	A157	TCGA-D8-A1X9-01A-12R-A157-07
-1.03499115169643	7.23186158636025	A115	TCGA-C8-A130-01A-31R-A115-07
-10.3252036318342	34.9106000810762	A00Z	TCGA-A2-A0CX-01A-21R-A00Z-07
-121.260627132428	60.1496296008882	A33J	TCGA-AC-A6IW-01A-12R-A33J-07
37.2387278578279	-0.781993757430488	A12D	TCGA-E2-A153-01A-12R-A12D-07
19.1075426816491	-15.4441127045414	A034	TCGA-A2-A0EV-01A-11R-A034-07
-101.593625747334	5.26040541494006	A36F	TCGA-PL-A8LZ-01A-31R-A36F-07
72.8360256539695	109.979190367541	A28M	TCGA-E9-A5UP-01A-11R-A28M-07
9.2174782996711	-80.4219708196184	A17B	TCGA-AC-A2FG-01A-11R-A17B-07
9.96950226233592	-46.3567603193889	A28M	TCGA-AR-A5QN-01A-12R-A28M-07
-22.8154373000816	-76.8810884310997	A169	TCGA-AR-A252-01A-11R-A169-07
65.1672658274669	-7.09428466626273	A14M	TCGA-B6-A1KI-01A-11R-A14M-07
19.5861729655127	-47.8770412778539	A084	TCGA-A1-A0SE-01A-11R-A084-07
17.2887084012913	-20.5316287127149	A13Q	TCGA-BH-A1EY-01A-11R-A13Q-07
48.8186113231932	31.0002629795532	A14M	TCGA-D8-A1Y1-01A-21R-A14M-07
41.2443421146214	-49.8408920508355	A14M	TCGA-D8-A1X8-01A-11R-A14M-07
42.8591033549146	-17.426768213613	A239	TCGA-D8-A3Z6-01A-11R-A239-07
-3.3379059512181	-111.510764183329	A266	TCGA-D8-A4Z1-01A-21R-A266-07
13.9265354078496	-31.3224060993756	A056	TCGA-AO-A0JA-01A-11R-A056-07
14.774146143714	-18.6160081793276	A084	TCGA-A2-A0T5-01A-21R-A084-07
65.2895483658575	-9.41569766375255	A034	TCGA-A2-A0EM-01A-11R-A034-07
-86.8223725634717	34.7271275402158	A277	TCGA-A7-A13E-01A-11R-A277-07
12.3001786042524	-28.378695884873	A084	TCGA-A1-A0SJ-01A-11R-A084-07
26.7476600644591	40.943872575674	A00Z	TCGA-A8-A08F-01A-11R-A00Z-07
-8.03996684112914	-61.5972147379432	A13Q	TCGA-EW-A1IW-01A-11R-A13Q-07
72.2538215227192	9.30534025462626	A056	TCGA-AO-A0JI-01A-21R-A056-07
15.8288853215531	26.0520296999136	A109	TCGA-AR-A0U2-01A-11R-A109-07
45.9285403373697	4.89279577734511	A115	TCGA-A2-A0D3-01A-11R-A115-07
93.3962162368734	71.8343692575897	A109	TCGA-B6-A0X4-01A-11R-A109-07
28.4669156915356	-25.1536707047355	A33J	TCGA-AC-A6NO-01A-12R-A33J-07
80.5111740441988	62.6660021589997	A13Q	TCGA-AQ-A1H2-01A-11R-A13Q-07
17.0365499029824	-22.2800816504757	A00Z	TCGA-A8-A08Z-01A-21R-A00Z-07
-93.6519134112853	76.6485130092591	A12P	TCGA-A7-A13E-01A-11R-A12P-07
24.6473954274782	66.1238102011759	A14D	TCGA-E9-A1RG-01A-11R-A14D-07
68.5961543098293	-13.6423112152193	A109	TCGA-A2-A0YC-01A-11R-A109-07
81.9909944461423	55.5927937973987	A14D	TCGA-E9-A1R6-01A-11R-A14D-07
-102.217764288662	46.2791902930272	A034	TCGA-B6-A0IQ-01A-11R-A034-07
5.83168302605667	-13.8154850076061	A12P	TCGA-AR-A1AP-01A-11R-A12P-07
-48.1166238266992	-4.1116116301894	A144	TCGA-EW-A1OV-01A-11R-A144-07
-94.4138514980467	57.8858317917717	A14M	TCGA-D8-A1XQ-01A-11R-A14M-07
3.81487363892883	-35.6137810666878	A27Q	TCGA-PE-A5DE-01A-11R-A27Q-07
29.4425738374347	3.89452026246545	A144	TCGA-E2-A1IG-01A-11R-A144-07
14.9207911700172	-44.0949404569154	A034	TCGA-A2-A0CP-01A-11R-A034-07
-113.202699976462	97.2281085526214	A115	TCGA-E2-A14R-01A-11R-A115-07
-8.99444143186563	-104.201149270852	A115	TCGA-A2-A0ES-01A-11R-A115-07
-21.3036611429684	-70.8017475703723	A12D	TCGA-E2-A15M-01A-11R-A12D-07
26.375126799453	-29.7653452815389	A24H	TCGA-EW-A424-01A-11R-A24H-07
68.1045986793078	-44.8224592827243	A034	TCGA-A8-A09V-01A-11R-A034-07
108.668937773224	58.6437944413486	A00Z	TCGA-A8-A083-01A-21R-A00Z-07
77.7393241540236	9.33432726446419	A157	TCGA-E9-A1N3-01A-12R-A157-07
16.0216669934424	9.11176572948938	A034	TCGA-AN-A04A-01A-21R-A034-07
17.5168410162451	-46.1083115967971	A32P	TCGA-EW-A6SC-01A-12R-A32P-07
-106.369091127391	55.9403253152377	A169	TCGA-AR-A256-01A-11R-A169-07
25.542450277618	-26.4997086292094	A137	TCGA-BH-A1EO-01A-11R-A137-07
6.52583697943453	-82.1030689708775	A29R	TCGA-A7-A5ZX-01A-12R-A29R-07
102.573992258366	95.1353143056183	A10J	TCGA-AO-A12B-01A-11R-A10J-07
12.2603903623187	-54.0424859881389	A084	TCGA-BH-A0HP-01A-12R-A084-07
22.645948647142	-35.0645443507653	A169	TCGA-A7-A26H-01A-11R-A169-07
35.8758233476633	4.46854352076757	A056	TCGA-BH-A0H9-01A-11R-A056-07
-121.928084894548	28.7322139370185	A180	TCGA-GM-A2DF-01A-11R-A180-07
-46.3653420447541	56.5025936511881	A352	TCGA-AC-A7VC-01A-11R-A352-07
68.6538781514138	-14.0829005038628	A18M	TCGA-B6-A2IU-01A-32R-A18M-07
10.1307714765844	10.8831948961854	A12P	TCGA-BH-A0BT-01A-11R-A12P-07
